Date,Hillside OAT [F],Main Meter [kW],Boiler Gas [kBtu/hr]
1/1/2012 0:00,50.56,112.45,145.62
1/1/2012 1:00,51.13,112.86,152.69
1/1/2012 2:00,51.49,116.33,152.96
1/1/2012 3:00,51.59,114.22,144.02
1/1/2012 4:00,50.96,116.39,136.96
1/1/2012 5:00,49.33,115.64,140.45
1/1/2012 6:00,48.73,117.47,130.89
1/1/2012 7:00,47.86,118.42,114.4
1/1/2012 8:00,49.87,117.3,102.01
1/1/2012 9:00,66.68,116.36,96.73
1/1/2012 10:00,76.48,116.09,168.76
1/1/2012 11:00,71.97,114.4,237.83
1/1/2012 12:00,60.37,112.41,221.35
1/1/2012 13:00,60.43,110.8,113.82
1/1/2012 14:00,61.73,112.54,92.44
1/1/2012 15:00,62.56,112.98,97.81
1/1/2012 16:00,61.04,111.2,103.73
1/1/2012 17:00,56.6,108.84,150.14
1/1/2012 18:00,54.93,109.33,153.44
1/1/2012 19:00,53.27,109.81,190.29
1/1/2012 20:00,52.83,111.84,185.8
1/1/2012 21:00,52.44,113.43,168.78
1/1/2012 22:00,52.41,113.08,184.53
1/1/2012 23:00,50.45,112.24,220.97
1/2/2012 0:00,48.19,107.52,201.88
1/2/2012 1:00,46.84,107.46,196.92
1/2/2012 2:00,46.9,109,234.52
1/2/2012 3:00,47.42,111.65,279.47
1/2/2012 4:00,47.6,114.42,335.51
1/2/2012 5:00,48.39,114.76,574.46
1/2/2012 6:00,49.04,122.26,577.87
1/2/2012 7:00,49.39,126.11,552.9
1/2/2012 8:00,49.59,127.39,515.35
1/2/2012 9:00,50.33,131.1,436.47
1/2/2012 10:00,52.2,128.99,376.22
1/2/2012 11:00,55.1,128.57,276.48
1/2/2012 12:00,56.3,132.68,234.97
1/2/2012 13:00,56.98,133.99,241.21
1/2/2012 14:00,57.53,135.83,235.13
1/2/2012 15:00,57.41,137.99,239.49
1/2/2012 16:00,57.38,135.37,260
1/2/2012 17:00,52.99,121.75,291.6
1/2/2012 18:00,50.51,111.97,237.75
1/2/2012 19:00,49.79,107.13,271.93
1/2/2012 20:00,49.29,106.84,240.34
1/2/2012 21:00,49.08,106.47,203.99
1/2/2012 22:00,49.48,105.93,179.71
1/2/2012 23:00,49.19,107.11,194.09
1/3/2012 0:00,48.58,114.02,193.12
1/3/2012 1:00,48.53,114.78,242.26
1/3/2012 2:00,48.01,118.19,274.67
1/3/2012 3:00,47.22,116.87,326.15
1/3/2012 4:00,46.56,137.42,538.74
1/3/2012 5:00,46.5,144.81,762.92
1/3/2012 6:00,46.17,154.03,911.67
1/3/2012 7:00,45.66,167.53,1003.93
1/3/2012 8:00,46.17,188.35,1037.47
1/3/2012 9:00,48.94,205,926.56
1/3/2012 10:00,52.6,210.91,724.47
1/3/2012 11:00,60.08,214.42,628.31
1/3/2012 12:00,55.09,216.68,569.66
1/3/2012 13:00,54.78,222.13,462.05
1/3/2012 14:00,56.69,223.77,361.09
1/3/2012 15:00,59.1,219.61,311.72
1/3/2012 16:00,58.53,206.82,290.04
1/3/2012 17:00,55.16,185.77,233.84
1/3/2012 18:00,53.81,134.79,273.41
1/3/2012 19:00,53.11,117.05,244.4
1/3/2012 20:00,53.13,111.48,254.48
1/3/2012 21:00,52.35,111.67,260.83
1/3/2012 22:00,51.47,110.07,255.24
1/3/2012 23:00,51.38,109.19,245.15
1/4/2012 0:00,52.02,110.49,258.69
1/4/2012 1:00,51.49,113.11,362.28
1/4/2012 2:00,49.25,115.27,374.58
1/4/2012 3:00,49.03,114.73,423.97
1/4/2012 4:00,49.05,139.24,656.22
1/4/2012 5:00,49.28,145.55,888.11
1/4/2012 6:00,50.78,155.31,1066.18
1/4/2012 7:00,51.26,167.55,990.34
1/4/2012 8:00,54.16,188.34,859.14
1/4/2012 9:00,69.35,204.28,561.24
1/4/2012 10:00,80.27,212.42,522.04
1/4/2012 11:00,76.34,213.59,432.56
1/4/2012 12:00,64.51,217.67,353.7
1/4/2012 13:00,66.09,218.19,331.27
1/4/2012 14:00,66.34,216.53,267.03
1/4/2012 15:00,63.69,210.59,264.55
1/4/2012 16:00,61.41,204.45,244.41
1/4/2012 17:00,59.08,184.27,226.71
1/4/2012 18:00,58.02,135.88,180.5
1/4/2012 19:00,57.26,120.06,139.89
1/4/2012 20:00,56.99,113.32,146.49
1/4/2012 21:00,56.44,113.83,134.86
1/4/2012 22:00,56.21,111.47,157.44
1/4/2012 23:00,54.93,109.34,192.11
1/5/2012 0:00,52.12,109.81,206.35
1/5/2012 1:00,50.96,110.79,231.35
